"Week","Year","Industry","Revenue","Source"
"Week 30","2020","FOREST PRODUCTS",537.41724,"CN"
"Week 30","2020","GRAIN & FERTS",1021.14978,"CN"
"Week 30","2020","INTERMODAL",1169.87543,"CN"
"Week 30","2020","METALS&MINERALS",391.63663,"CN"
"Week 30","2020","PETRO&CHEMICALS",727.35202,"CN"
"Week 30","2020","RTMs TOTAL",4167.2993,"CN"
"Week 31","2020","AUTOMOTIVE",65.30358,"CN"
"Week 31","2020","COAL",253.72708,"CN"
"Week 31","2020","FOREST PRODUCTS",492.6005,"CN"
"Week 31","2020","GRAIN & FERTS",1083.02518,"CN"
"Week 31","2020","INTERMODAL",1223.00012,"CN"
"Week 31","2020","METALS&MINERALS",387.93795,"CN"
"Week 31","2020","PETRO&CHEMICALS",696.91089,"CN"
"Week 31","2020","RTMs TOTAL",4202.50529,"CN"
"Week 32","2020","AUTOMOTIVE",72.86464,"CN"
"Week 32","2020","COAL",301.61124,"CN"
"Week 32","2020","FOREST PRODUCTS",513.22709,"CN"
"Week 32","2020","GRAIN & FERTS",1074.82496,"CN"
"Week 32","2020","INTERMODAL",1228.89637,"CN"
"Week 32","2020","METALS&MINERALS",450.28882,"CN"
"Week 32","2020","PETRO&CHEMICALS",722.67594,"CN"
"Week 32","2020","RTMs TOTAL",4364.38905,"CN"
"Week 33","2020","AUTOMOTIVE",67.55375,"CN"
"Week 33","2020","COAL",277.54467,"CN"
"Week 33","2020","FOREST PRODUCTS",499.79188,"CN"
"Week 33","2020","GRAIN & FERTS",971.42539,"CN"
"Week 33","2020","INTERMODAL",1200.4343,"CN"
"Week 33","2020","METALS&MINERALS",416.11276,"CN"
"Week 33","2020","PETRO&CHEMICALS",695.97005,"CN"
"Week 33","2020","RTMs TOTAL",4128.83278,"CN"
"Week 34","2020","AUTOMOTIVE",63.91582,"CN"
"Week 34","2020","COAL",189.04023,"CN"
"Week 34","2020","FOREST PRODUCTS",546.65656,"CN"
"Week 34","2020","GRAIN & FERTS",1053.3385,"CN"
"Week 34","2020","INTERMODAL",1281.51579,"CN"
"Week 34","2020","METALS&MINERALS",431.12585,"CN"
"Week 34","2020","PETRO&CHEMICALS",683.43755,"CN"
"Week 34","2020","RTMs TOTAL",4249.03029,"CN"
"Week 35","2020","AUTOMOTIVE",63.56077,"CN"
"Week 35","2020","COAL",252.20145,"CN"
"Week 35","2020","FOREST PRODUCTS",510.79617,"CN"
"Week 35","2020","GRAIN & FERTS",1166.07289,"CN"
"Week 35","2020","INTERMODAL",1208.36173,"CN"
"Week 35","2020","METALS&MINERALS",453.91243,"CN"
"Week 35","2020","PETRO&CHEMICALS",776.02365,"CN"
"Week 35","2020","RTMs TOTAL",4430.92909,"CN"
"Week 36","2020","AUTOMOTIVE",50.16473,"CN"
"Week 36","2020","COAL",270.72786,"CN"
"Week 36","2020","FOREST PRODUCTS",512.54709,"CN"
"Week 36","2020","GRAIN & FERTS",1320.99305,"CN"
"Week 36","2020","INTERMODAL",1173.56449,"CN"
"Week 36","2020","METALS&MINERALS",475.81011,"CN"
"Week 36","2020","PETRO&CHEMICALS",681.3227,"CN"
"Week 36","2020","RTMs TOTAL",4485.13002,"CN"
"Week 37","2020","AUTOMOTIVE",49.76849,"CN"
"Week 37","2020","COAL",301.08213,"CN"
"Week 37","2020","FOREST PRODUCTS",507.7499,"CN"
"Week 37","2020","GRAIN & FERTS",1294.4267,"CN"
"Week 37","2020","INTERMODAL",1267.67383,"CN"
"Week 37","2020","METALS&MINERALS",499.48652,"CN"
"Week 37","2020","PETRO&CHEMICALS",750.7002,"CN"
"Week 37","2020","RTMs TOTAL",4670.88778,"CN"
"Week 38","2020","AUTOMOTIVE",48.00626,"CN"
"Week 38","2020","COAL",298.66673,"CN"
"Week 38","2020","FOREST PRODUCTS",513.45872,"CN"
"Week 38","2020","GRAIN & FERTS",1291.38809,"CN"
"Week 38","2020","INTERMODAL",1309.58071,"CN"
"Week 38","2020","METALS&MINERALS",448.73691,"CN"
"Week 38","2020","PETRO&CHEMICALS",782.9681,"CN"
"Week 38","2020","RTMs TOTAL",4692.80552,"CN"
"Week 39","2020","AUTOMOTIVE",46.11646,"CN"
"Week 39","2020","COAL",331.20463,"CN"
"Week 39","2020","FOREST PRODUCTS",528.44446,"CN"
"Week 39","2020","GRAIN & FERTS",1384.45771,"CN"
"Week 39","2020","INTERMODAL",1315.47773,"CN"
"Week 39","2020","METALS&MINERALS",487.72214,"CN"
"Week 39","2020","PETRO&CHEMICALS",842.44651,"CN"
"Week 39","2020","RTMs TOTAL",4935.86964,"CN"
"Week 40","2020","AUTOMOTIVE",51.13513,"CN"
"Week 40","2020","COAL",214.31381,"CN"
"Week 40","2020","FOREST PRODUCTS",522.10247,"CN"
"Week 40","2020","GRAIN & FERTS",1420.561,"CN"
"Week 40","2020","INTERMODAL",1298.35181,"CN"
"Week 40","2020","METALS&MINERALS",430.10499,"CN"
"Week 40","2020","PETRO&CHEMICALS",826.03476,"CN"
"Week 40","2020","RTMs TOTAL",4762.60397,"CN"
"Week 41","2020","AUTOMOTIVE",47.89423,"CN"
"Week 41","2020","COAL",307.35137,"CN"
"Week 41","2020","FOREST PRODUCTS",489.95952,"CN"
"Week 41","2020","GRAIN & FERTS",1461.31762,"CN"
"Week 41","2020","INTERMODAL",1276.39504,"CN"
"Week 41","2020","METALS&MINERALS",441.98367,"CN"
"Week 41","2020","PETRO&CHEMICALS",802.9698,"CN"
"Week 41","2020","RTMs TOTAL",4827.87125,"CN"
"Week 42","2020","AUTOMOTIVE",58.23452,"CN"
"Week 42","2020","COAL",295.30133,"CN"
"Week 42","2020","FOREST PRODUCTS",480.42351,"CN"
"Week 42","2020","GRAIN & FERTS",1386.1317,"CN"
"Week 42","2020","INTERMODAL",1338.3945,"CN"
"Week 42","2020","METALS&MINERALS",347.32135,"CN"
"Week 42","2020","PETRO&CHEMICALS",819.70486,"CN"
"Week 42","2020","RTMs TOTAL",4725.51177,"CN"
"Week 43","2020","AUTOMOTIVE",48.38425,"CN"
"Week 43","2020","COAL",323.07533,"CN"
"Week 43","2020","FOREST PRODUCTS",499.40141,"CN"
"Week 43","2020","GRAIN & FERTS",1364.08713,"CN"
"Week 43","2020","INTERMODAL",1341.74649,"CN"
"Week 43","2020","METALS&MINERALS",413.96122,"CN"
"Week 43","2020","PETRO&CHEMICALS",822.33506,"CN"
"Week 43","2020","RTMs TOTAL",4812.99089,"CN"
"Week 44","2020","AUTOMOTIVE",45.82735,"CN"
"Week 44","2020","COAL",326.74102,"CN"
"Week 44","2020","FOREST PRODUCTS",522.59094,"CN"
"Week 44","2020","GRAIN & FERTS",1395.41574,"CN"
"Week 44","2020","INTERMODAL",1235.853,"CN"
"Week 44","2020","METALS&MINERALS",409.3129,"CN"
"Week 44","2020","PETRO&CHEMICALS",937.49643,"CN"
"Week 44","2020","RTMs TOTAL",4873.23739,"CN"
"Week 45","2020","AUTOMOTIVE",46.75501,"CN"
"Week 45","2020","COAL",348.75213,"CN"
"Week 45","2020","FOREST PRODUCTS",500.44714,"CN"
"Week 45","2020","GRAIN & FERTS",1264.94673,"CN"
"Week 45","2020","INTERMODAL",1272.76217,"CN"
"Week 45","2020","METALS&MINERALS",386.31166,"CN"
"Week 45","2020","PETRO&CHEMICALS",967.01922,"CN"
"Week 45","2020","RTMs TOTAL",4786.99405,"CN"
"Week 46","2020","AUTOMOTIVE",53.44806,"CN"
"Week 46","2020","COAL",357.67132,"CN"
"Week 46","2020","FOREST PRODUCTS",520.51654,"CN"
"Week 46","2020","GRAIN & FERTS",1301.26498,"CN"
"Week 46","2020","INTERMODAL",1320.90222,"CN"
"Week 46","2020","METALS&MINERALS",464.73267,"CN"
"Week 46","2020","PETRO&CHEMICALS",948.30777,"CN"
"Week 46","2020","RTMs TOTAL",4966.84355,"CN"
"Week 47","2020","AUTOMOTIVE",45.62567,"CN"
"Week 47","2020","COAL",359.3683,"CN"
"Week 47","2020","FOREST PRODUCTS",534.35911,"CN"
"Week 47","2020","GRAIN & FERTS",1409.88504,"CN"
"Week 47","2020","INTERMODAL",1256.16398,"CN"
"Week 47","2020","METALS&MINERALS",372.62685,"CN"
"Week 47","2020","PETRO&CHEMICALS",909.60001,"CN"
"Week 47","2020","RTMs TOTAL",4887.62896,"CN"
"Week 48","2020","AUTOMOTIVE",51.55855,"CN"
"Week 48","2020","COAL",309.1752,"CN"
"Week 48","2020","FOREST PRODUCTS",515.72037,"CN"
"Week 48","2020","GRAIN & FERTS",1470.77955,"CN"
"Week 48","2020","INTERMODAL",1235.5132,"CN"
"Week 48","2020","METALS&MINERALS",418.97309,"CN"
"Week 48","2020","PETRO&CHEMICALS",971.18663,"CN"
"Week 48","2020","RTMs TOTAL",4972.90659,"CN"
"Week 49","2020","AUTOMOTIVE",54.88163,"CN"
"Week 49","2020","COAL",392.74908,"CN"
"Week 49","2020","FOREST PRODUCTS",551.87235,"CN"
"Week 49","2020","GRAIN & FERTS",1414.08973,"CN"
"Week 49","2020","INTERMODAL",1262.08088,"CN"
"Week 49","2020","METALS&MINERALS",435.59341,"CN"
"Week 49","2020","PETRO&CHEMICALS",901.57763,"CN"
"Week 49","2020","RTMs TOTAL",5012.8447,"CN"
"Week 50","2020","AUTOMOTIVE",55.67965,"CN"
"Week 50","2020","COAL",363.6887,"CN"
"Week 50","2020","FOREST PRODUCTS",506.60099,"CN"
"Week 50","2020","GRAIN & FERTS",1350.39237,"CN"
"Week 50","2020","INTERMODAL",1214.01228,"CN"
"Week 50","2020","METALS&MINERALS",514.22315,"CN"
"Week 50","2020","PETRO&CHEMICALS",887.91703,"CN"
"Week 50","2020","RTMs TOTAL",4892.51416,"CN"
"Week 51","2020","AUTOMOTIVE",46.49685,"CN"
"Week 51","2020","COAL",255.14953,"CN"
"Week 51","2020","FOREST PRODUCTS",455.46317,"CN"
"Week 51","2020","GRAIN & FERTS",1026.00454,"CN"
"Week 51","2020","INTERMODAL",886.94141,"CN"
"Week 51","2020","METALS&MINERALS",471.00851,"CN"
"Week 51","2020","PETRO&CHEMICALS",858.27859,"CN"
"Week 51","2020","RTMs TOTAL",3999.3426,"CN"
"Week 52","2020","AUTOMOTIVE",39.12116,"CN"
"Week 52","2020","COAL",320.92345,"CN"
"Week 52","2020","FOREST PRODUCTS",469.69795,"CN"
"Week 52","2020","GRAIN & FERTS",1254.27323,"CN"
"Week 52","2020","INTERMODAL",905.27916,"CN"
"Week 52","2020","METALS&MINERALS",463.52606,"CN"
"Week 52","2020","PETRO&CHEMICALS",800.96284,"CN"
"Week 52","2020","RTMs TOTAL",4253.78384,"CN"
"Week 1","2021","AUTOMOTIVE",40.10601,"CN"
"Week 1","2021","COAL",332.36841,"CN"
"Week 1","2021","FOREST PRODUCTS",521.6151,"CN"
"Week 1","2021","GRAIN & FERTS",1417.73956,"CN"
"Week 1","2021","INTERMODAL",1277.11713,"CN"
"Week 1","2021","METALS&MINERALS",473.97368,"CN"
"Week 1","2021","PETRO&CHEMICALS",891.85189,"CN"
"Week 1","2021","RTMs TOTAL",4954.77179,"CN"
"Week 2","2021","AUTOMOTIVE",45.19608,"CN"
"Week 2","2021","COAL",372.72291,"CN"
"Week 2","2021","FOREST PRODUCTS",573.49248,"CN"
"Week 2","2021","GRAIN & FERTS",1517.98373,"CN"
