year,week_no,geo_zone,card_present,indexed_volume_current,yoy_vol_Growth,yoy_txn_Growth,ats_current,ATS_prior,ATS_YOY_Growth
2021,4,CANADA,CNP,1.2378533335170137,0.09676366497094227,-0.012789310806750387,270.9101147672635,243.97688942699153,0.11039252694600635
2020,13,CANADA,CNP,1.3454581866161115,0.008398367645531632,0.19904473944625914,237.01757290953915,270.58307536452,-0.12404878764040436
2021,7,CANADA,CNP,1.2656226544751374,0.3591059155658576,0.24892070451530085,258.5279888647915,241.787138273105,0.06923796985750855
2021,26,CANADA,CNP,1.404052562661431,0.13449451345576124,0.06408845433170818,277.1017157917742,263.3918606370787,0.05205117243006223
2021,41,CANADA,CNP,1.2837454832469346,0.1306689679659501,0.14731548387246896,243.24306853276516,249.62225228593744,-0.025555348911222225
2021,34,CANADA,CNP,1.2431722275344292,0.069915947509215,0.09411981118611278,246.00667919098004,248.82575717889097,-0.011329526411866518
2022,41,CANADA,CNP,1.3719284218158536,0.05299485061280279,0.0002289443468668735,251.3877852677644,243.2430685327651,0.03348385951603053
2021,48,CANADA,CNP,1.031465034933023,-0.006147484162660581,-0.07216243400306878,231.16139006689704,209.315584554261,0.10436779258055172
2021,33,CANADA,CNP,1.3919344774303117,0.11503463378580442,0.09445818960366965,258.13059948086715,252.667764539118,0.02162062482214028
2022,12,CANADA,CNP,1.4617394341313406,0.04398612181567515,-0.024233131073668278,266.3953865668124,264.44395513442066,0.007379376213760745
2019,34,CANADA,CNP,1.1040607076201832,-0.027497185022885166,0.07470328723511699,257.680794067004,279.679279170082,-0.07865611341804127
2020,11,CANADA,CNP,1.1435998898490034,0.19216054561631107,0.2807228747345029,228.7566100484692,243.43019668481293,-0.06027841589161057
2018,52,CANADA,CNP,1.1337745147966294,0.3023865459701399,0.19582035668775982,260.71331202606706,237.48196437715984,0.09782362930101114
2021,49,CANADA,CNP,1.187719421289618,-0.02462257727138227,-0.09904086678089088,251.05143921839877,230.7468894705404,0.0879949012289965
2022,40,CANADA,CNP,1.6732673812674521,0.13047402148106507,0.0003236199536353906,278.9026593624036,252.46333121446912,0.10472541901728337
2019,6,CANADA,CNP,1.0539429882447597,0.06963901686231096,0.10621865824548334,247.63394981278313,250.36784323938053,-0.010919507039022927
2021,17,CANADA,CNP,1.3432973752158428,0.04517876196388853,0.11582309281595043,246.374499468852,255.9371428085246,-0.037363249564861895
2020,46,CANADA,CNP,1.3503484840364988,0.11611387638461976,0.14584661818128006,242.83812755624348,249.186761451913,-0.025477412438279314
2019,11,CANADA,CNP,0.9886462713150678,-0.025629965337834505,0.01739314146842494,243.43019668481287,248.77579973709808,-0.021487632872386916
2020,49,CANADA,CNP,1.2464124088044006,0.183952307402347,0.2947577243406056,230.7468894705404,250.54877979058375,-0.07903407207408623
2021,32,CANADA,CNP,1.1885211919225507,0.12965772843701145,0.1212891373291899,244.37304519478522,237.19144395711686,0.030277657228507622
2022,52,CANADA,CNP,1.3414538168917511,0.054236825711484284,0.07658594487293899,243.03265908482874,258.9313192838853,-0.061401070534946284
2019,42,CANADA,CNP,1.0424278849646056,-0.007768016578429823,0.007219043523282452,231.05164774176362,238.56288189073615,-0.03148534293953048
2022,51,CANADA,CNP,1.46202246902066,0.15306312414142886,0.13522650512347878,250.49646081391745,256.62881606926965,-0.023895817115475216
2019,32,CANADA,CNP,1.1311402193254894,-0.011804717037842081,0.04728336047495745,259.58385989749974,269.4671174668475,-0.036677044910920255
2021,8,CANADA,CNP,1.2094564401376884,0.3065946921934592,0.15328833475882703,264.2618536411865,238.2809525558729,0.10903473738305434
2020,8,CANADA,CNP,0.8806215999801013,-0.18337573999637816,-0.0764940946099192,238.2809525558729,267.41479712251254,-0.10894626954129381
2021,13,CANADA,CNP,1.7262769777046298,0.2512500373379457,0.00633562840164253,290.38146929790673,237.01757290953907,0.22514742570895666
2020,20,CANADA,CNP,1.1687362663920096,0.06893233934872019,0.08644248662015047,252.3206892944578,256.8763786005794,-0.01773494834729559
2020,45,CANADA,CNP,1.2699144606046846,0.09256619011670393,0.142053411509022,231.6504325028537,239.30340821313288,-0.03198022028780778
2019,17,CANADA,CNP,1.2350042992056969,0.029222755457260257,0.06832643735072515,269.3388238693136,269.7618775906279,-0.00156824872770295
2022,6,CANADA,CNP,1.3912209449668504,0.15656612274172757,0.16714780582427227,257.82873513614226,274.38749820986743,-0.06034809596558249
2019,10,CANADA,CNP,1.022304578553072,0.04619424394243768,0.1280706422961501,252.05571872824916,263.86130277193934,-0.04474162720970865
2019,16,CANADA,CNP,0.9589103135743295,0.07192862243336395,0.14205852406526465,239.10862220047224,246.00970252298973,-0.02805206563701518
2022,26,CANADA,CNP,1.5858663756675735,0.12106737429547204,0.0897857309820014,282.76968515256897,277.10171579177427,0.0204544722669774
2022,31,CANADA,CNP,1.7240268268641372,0.1456909381856624,0.08570219231707428,282.81092180238744,270.1314998666116,0.04693796148185913
2020,24,CANADA,CNP,1.2103558310373848,0.06502350905151083,0.06594005415114111,260.75032939975017,260.41556023184154,0.0012855190665665129
2020,21,CANADA,CNP,1.1140383054092067,-0.0648273127055627,0.06352784798771811,249.4826721711416,282.90101137887706,-0.11812732321051952
2019,4,CANADA,CNP,1.1585435521080103,0.033039977646026716,0.06250683308540766,247.87636607705005,248.83644357427877,-0.0038582672354507295
2020,22,CANADA,CNP,1.175281952707462,0.1105358377283652,0.0813238625377276,250.36544331674384,241.67210931185872,0.03597160644494172
2022,9,CANADA,CNP,1.6315791410105298,0.20633573748582298,0.1759332950979376,276.75137962512173,282.903059017331,-0.02174483165214692
2020,47,CANADA,CNP,0.9208634224178286,0.3368593277414348,0.22937514973073275,224.7836776706605,200.831627481522,0.11926433345934156
2020,50,CANADA,CNP,1.3523508988722148,0.19692313268925188,0.24629402984368154,241.63679856003336,249.8957065620216,-0.03304941935822517
2019,8,CANADA,CNP,1.0931610235358808,0.15492143607152267,0.17883463888461684,267.4147971225127,263.3855850304822,0.01529776996552101
2019,30,CANADA,CNP,1.1927968732580565,0.005399566405125131,0.021005137961311725,283.2592806893515,279.8444001155302,0.012202783305334995
2021,12,CANADA,CNP,1.3807850319590784,0.19162302279267246,0.003707376112955897,264.4439551344206,220.61761668609773,0.19865294125935773
2019,23,CANADA,CNP,1.1022310958513668,0.0358595585733297,0.10237413587782829,265.4496293714951,275.8200999558542,-0.037598676042894914
